class_name,kind,visibility,inherit,type_idx,method_count,field_count
AixNetworkInterfaceAPI,class,internal,,,0,0
AsyncProtocolRequest.<InnerRead>d__25,struct,private,,,0,1
AsyncProtocolRequest.<ProcessOperation>d__24,struct,private,,,0,1
AsyncProtocolRequest.<StartOperation>d__23,struct,private,,,0,1
AsyncProtocolResult,class,internal,,7386,0,0
ClientWebSocket.<ConnectAsyncCore>d__16,struct,private,,,0,2
DebugNetworkGraph,class,public,,,0,2
DelegateFactory.NetWorkUnit_NetworkManagerBase_OnSocketErrorEventDelegate_Event,class,private,,,0,0
DelegateFactory.NetWorkUnit_NetworkManagerBase_OnSocketTimeoutDelegate_Event,class,private,,,0,0
FreeBSDNetworkInterfaceAPI,class,internal,,,0,0
INetProtocolInterface,interface,public,,6879,0,0
IWebSocket,interface,public,,11913,0,0
LinuxNetworkInterfaceAPI,class,internal,,,0,0
LuaArgsProtocol,struct,public,,196,0,2
Lua_NetworkHelperWrap,class,public,,732,0,0
MacOsNetworkInterfaceAPI,class,internal,,,0,0
ManagedWebSocket.<CloseWithReceiveErrorAndThrowAsync>d__66,struct,private,,,0,3
ManagedWebSocket.<EnsureBufferContainsAsync>d__71,struct,private,,,0,3
ManagedWebSocket.<HandleReceivedCloseAsync>d__62,struct,private,,,0,2
ManagedWebSocket.<HandleReceivedPingPongAsync>d__64,struct,private,,,0,2
"ManagedWebSocket.<ReceiveAsyncPrivate>d__61<TWebSocketReceiveResultGetter,",struct,private,,,0,3
ManagedWebSocket.<SendCloseFrameAsync>d__69,struct,private,,,0,3
ManagedWebSocket.<SendFrameFallbackAsync>d__56,struct,private,,,0,4
ManagedWebSocket.<WaitForServerToCloseConnectionAsync>d__63,struct,private,,,0,1
ManagedWebSocket.<WaitForWriteTaskAsync>d__55,struct,private,,,0,1
ManagedWebSocket.IWebSocketReceiveResultGetter<TResult>,interface,private,,8028,0,0
ManagedWebSocket.MessageHeader,struct,private,,8027,0,0
ManagedWebSocket.WebSocketReceiveResultGetter,struct,private,,,0,0
NetPacket,class,public,,,0,0
NetTCP.NetPacketStream,class,public,,,0,0
NetWebSocket,class,public,,,0,1
NetWorkProtocolParser,class,public,,,0,1
NetWorkProtocolParser.DataBlock,class,public,,1656,0,2
NetWorkProtocolParser.NetWorkProtocolInfo,class,public,,1654,0,3
NetWorkProtocolParser.PFunction,class,public,,1660,0,3
NetWorkProtocolParser.Protocel,class,public,,1659,0,1
NetWorkProtocolParser.ProtocelParams,class,public,,1658,0,7
NetWorkProtocolParser.ProtocelSkipParams,class,public,,1657,0,2
NetWorkService.PacketReport,class,private,,6900,0,6
NetworkCredential,class,public,,,0,0
NetworkDisplayer,class,public,,,0,0
NetworkHelper,class,public,,1680,0,0
NetworkInformationException,class,public,,,0,0
NetworkInterfaceFactoryPal,class,internal,,7956,0,0
NetworkManager,class,public,,,0,0
NetworkManagerBase,class,public,,1674,0,6
NetworkManagerBase.ProtocoLogger,class,public,,1672,0,7
NetworkStream,class,public,,,0,5
NetworkStreamWrapper,class,internal,,,0,0
Packet,class,public,,2237,0,2
PacketIO,class,public,,2239,0,0
PacketPool,class,public,,2238,0,0
PacketReader,class,public,,,0,2
PacketWritter,class,public,,,0,0
PreLateUpdate.UpdateNetworkManager,struct,public,,8624,0,0
ProtocolList<T>,class,public,,1553,0,0
ProtocolViolationException,class,public,,,0,0
RequestCacheProtocol,class,internal,,7991,0,0
Socket,class,public,,,0,0
Socket.TaskSocketAsyncEventArgs<TResult>,class,private,,,0,0
Socket.WSABUF,struct,private,,7998,0,6
SocketAddress,class,public,,7782,0,0
SocketAsyncEventArgs,class,public,,,0,16
SocketException,class,public,,,0,0
SystemNetworkCredential,class,internal,,,0,0
SystemNetworkInterface,class,internal,,7954,0,0
UnixNetworkInterfaceFactoryPal,class,internal,,7965,0,0
WebSocket,class,public,,,0,0
WebSocket.<ConnectTask>d__36,struct,private,,,0,0
WebSocket.<ReceiveTask>d__43,struct,private,,,0,0
WebSocket.<SendTask>d__42,struct,private,,,0,0
WebSocket.SendBuffer,class,private,,11919,0,2
WebSocketHandle.<ConnectAsyncCore>d__26,struct,private,,,0,3
WebSocketHandle.<ConnectSocketAsync>d__27,struct,private,,,0,4
WebSocketHandle.<ParseAndValidateConnectResponseAsync>d__30,struct,private,,,0,4
WebSocketHandle.<ReadResponseHeaderLineAsync>d__32,struct,private,,,0,2
WebSocketManager,class,internal,,,0,0
WebSocketReceiveResult,class,public,,8060,0,0
WebSocketValidate,class,internal,,8042,0,0
