address,name,signature
12770944,NetWorkUnit.Encrypt$$.ctor,"void NetWorkUnit_Encrypt___ctor (NetWorkUnit_Encrypt_o* __this, const MethodInfo* method);"
12771044,NetWorkUnit.Encrypt$$SetSelfSalt,"void NetWorkUnit_Encrypt__SetSelfSalt (NetWorkUnit_Encrypt_o* __this, int32_t salt, const MethodInfo* method);"
12771056,NetWorkUnit.Encrypt$$SetTargetSalt,"void NetWorkUnit_Encrypt__SetTargetSalt (NetWorkUnit_Encrypt_o* __this, int32_t salt, const MethodInfo* method);"
12771096,NetWorkUnit.Encrypt$$GenSalt,"int32_t NetWorkUnit_Encrypt__GenSalt (NetWorkUnit_Encrypt_o* __this, const MethodInfo* method);"
12771240,NetWorkUnit.Encrypt$$GenKey,"void NetWorkUnit_Encrypt__GenKey (NetWorkUnit_Encrypt_o* __this, const MethodInfo* method);"
12771396,NetWorkUnit.Encrypt$$GetSelfSalt,"int32_t NetWorkUnit_Encrypt__GetSelfSalt (NetWorkUnit_Encrypt_o* __this, const MethodInfo* method);"
12771404,NetWorkUnit.Encrypt$$Encode,"bool NetWorkUnit_Encrypt__Encode (NetWorkUnit_Encrypt_o* __this, System_Byte_array* pInBuff, int32_t len, System_Byte_array** pOutBuff, const MethodInfo* method);"
12771568,NetWorkUnit.Encrypt$$EncodeRange,"bool NetWorkUnit_Encrypt__EncodeRange (NetWorkUnit_Encrypt_o* __this, System_Byte_array* pInBuff, int32_t start, int32_t len, System_Byte_array** pOutBuff, const MethodInfo* method);"
12771736,NetWorkUnit.Encrypt$$Decode,"bool NetWorkUnit_Encrypt__Decode (NetWorkUnit_Encrypt_o* __this, System_Byte_array* pInBuff, int32_t len, System_Byte_array** pOutBuff, const MethodInfo* method);"
12771744,NetWorkUnit.Encrypt$$IsKeyCrcCorrect,"bool NetWorkUnit_Encrypt__IsKeyCrcCorrect (NetWorkUnit_Encrypt_o* __this, uint16_t nKeyCRC, const MethodInfo* method);"
12771784,NetWorkUnit.Encrypt$$GetKeyCRC,"uint32_t NetWorkUnit_Encrypt__GetKeyCRC (NetWorkUnit_Encrypt_o* __this, const MethodInfo* method);"
12771812,NetWorkUnit.Encrypt$$CRC16,"uint16_t NetWorkUnit_Encrypt__CRC16 (System_Byte_array* lpBuffer, int32_t len, const MethodInfo* method);"
12771916,NetWorkUnit.Utils$$CRC16Calc,"uint32_t NetWorkUnit_Utils__CRC16Calc (System_Byte_array* pucData, int32_t nBytes, const MethodInfo* method);"
12772324,NetWorkUnit.Encrypt$$CRC16Range,"uint16_t NetWorkUnit_Encrypt__CRC16Range (System_Byte_array* lpBuffer, int32_t start, int32_t len, const MethodInfo* method);"
12772436,NetWorkUnit.Utils$$CRC16CalcRange,"uint32_t NetWorkUnit_Utils__CRC16CalcRange (System_Byte_array* pucData, int32_t start, int32_t nBytes, const MethodInfo* method);"
12772852,NetWorkUnit.Encrypt$$GetKey,"int32_t NetWorkUnit_Encrypt__GetKey (NetWorkUnit_Encrypt_o* __this, const MethodInfo* method);"
12772860,NetWorkUnit.Utils$$ConvertDateTimeInt,"int32_t NetWorkUnit_Utils__ConvertDateTimeInt (System_DateTime_o time, const MethodInfo* method);"
12773132,NetWorkUnit.Utils$$Wrand,"int32_t NetWorkUnit_Utils__Wrand (int32_t max, const MethodInfo* method);"
12773224,NetWorkUnit.FastBitConverter$$WriteLittleEndian,"void NetWorkUnit_FastBitConverter__WriteLittleEndian (System_Byte_array* buffer, int32_t offset, uint64_t data, const MethodInfo* method);"
12773464,NetWorkUnit.FastBitConverter$$WriteLittleEndian,"void NetWorkUnit_FastBitConverter__WriteLittleEndian (System_Byte_array* buffer, int32_t offset, int32_t data, const MethodInfo* method);"
12773592,NetWorkUnit.FastBitConverter$$WriteLittleEndian,"void NetWorkUnit_FastBitConverter__WriteLittleEndian (System_Byte_array* buffer, int32_t offset, int16_t data, const MethodInfo* method);"
12773664,NetWorkUnit.FastBitConverter$$GetBytes,"void NetWorkUnit_FastBitConverter__GetBytes (System_Byte_array* bytes, int32_t startIndex, int16_t value, const MethodInfo* method);"
12773800,NetWorkUnit.FastBitConverter$$WriteLittleEndianUnsafe,"void NetWorkUnit_FastBitConverter__WriteLittleEndianUnsafe (System_Byte_array* buffer, int32_t offset, int16_t value, const MethodInfo* method);"
12773844,NetWorkUnit.FastBitConverter$$GetBytes,"void NetWorkUnit_FastBitConverter__GetBytes (System_Byte_array* bytes, int32_t startIndex, uint16_t value, const MethodInfo* method);"
12773980,NetWorkUnit.FastBitConverter$$GetBytes,"void NetWorkUnit_FastBitConverter__GetBytes (System_Byte_array* bytes, int32_t startIndex, int32_t value, const MethodInfo* method);"
12774116,NetWorkUnit.FastBitConverter$$WriteLittleEndianUnsafe,"void NetWorkUnit_FastBitConverter__WriteLittleEndianUnsafe (System_Byte_array* buffer, int32_t offset, int32_t value, const MethodInfo* method);"
12774160,NetWorkUnit.FastBitConverter$$GetBytes,"void NetWorkUnit_FastBitConverter__GetBytes (System_Byte_array* bytes, int32_t startIndex, uint32_t value, const MethodInfo* method);"
12774296,NetWorkUnit.FastBitConverter$$GetBytes,"void NetWorkUnit_FastBitConverter__GetBytes (System_Byte_array* bytes, int32_t startIndex, int64_t value, const MethodInfo* method);"
12774432,NetWorkUnit.FastBitConverter$$WriteLittleEndianUnsafe,"void NetWorkUnit_FastBitConverter__WriteLittleEndianUnsafe (System_Byte_array* buffer, int32_t offset, int64_t value, const MethodInfo* method);"
12774476,NetWorkUnit.FastBitConverter$$GetBytes,"void NetWorkUnit_FastBitConverter__GetBytes (System_Byte_array* bytes, int32_t startIndex, uint64_t value, const MethodInfo* method);"
12774612,NetWorkUnit.FastBitConverter$$WriteBigEndianUnsafe,"void NetWorkUnit_FastBitConverter__WriteBigEndianUnsafe (System_Byte_array* buffer, int32_t offset, int64_t value, const MethodInfo* method);"
12774660,NetWorkUnit.FastBitConverter$$WriteBigEndianUnsafe,"void NetWorkUnit_FastBitConverter__WriteBigEndianUnsafe (System_Byte_array* buffer, int32_t offset, int32_t value, const MethodInfo* method);"
12774708,NetWorkUnit.FastBitConverter$$WriteBigEndianUnsafe,"void NetWorkUnit_FastBitConverter__WriteBigEndianUnsafe (System_Byte_array* buffer, int32_t offset, int16_t value, const MethodInfo* method);"
12774760,NetWorkUnit.FastBitConverter$$Copy,"void NetWorkUnit_FastBitConverter__Copy (System_Byte_array* source, int32_t sourceOffset, System_Byte_array* target, int32_t targetOffset, int32_t count, const MethodInfo* method);"
12775164,NetWorkUnit.FastBitConverter$$MemoryCopy,"void NetWorkUnit_FastBitConverter__MemoryCopy (System_Byte_array* source, int32_t sourceOffset, System_Byte_array* target, int32_t targetOffset, int32_t count, const MethodInfo* method);"
12775356,NetWorkUnit.FastBitConverter$$WriteBigEndian,"void NetWorkUnit_FastBitConverter__WriteBigEndian (System_Byte_array* buffer, int32_t offset, int16_t data, const MethodInfo* method);"
12775428,NetWorkUnit.FastBitConverter$$WriteBigEndian,"void NetWorkUnit_FastBitConverter__WriteBigEndian (System_Byte_array* buffer, int32_t offset, uint16_t data, const MethodInfo* method);"
12775500,NetWorkUnit.FastBitConverter$$UnitTest,void NetWorkUnit_FastBitConverter__UnitTest (const MethodInfo* method);
12778552,NetWorkUnit.FastBitConverter$$TestWriteBigEndianShort,void NetWorkUnit_FastBitConverter__TestWriteBigEndianShort (const MethodInfo* method);
12779360,NetWorkUnit.FastBitConverter$$TestCopy,void NetWorkUnit_FastBitConverter__TestCopy (const MethodInfo* method);
12780212,NetWorkUnit.NetBitStream$$get_IsValid,"bool NetWorkUnit_NetBitStream__get_IsValid (NetWorkUnit_NetBitStream_o* __this, const MethodInfo* method);"
12780220,NetWorkUnit.NetBitStream$$get_BYTES,"System_Byte_array* NetWorkUnit_NetBitStream__get_BYTES (NetWorkUnit_NetBitStream_o* __this, const MethodInfo* method);"
12780228,NetWorkUnit.NetBitStream$$get_BytePtr,"int32_t NetWorkUnit_NetBitStream__get_BytePtr (NetWorkUnit_NetBitStream_o* __this, const MethodInfo* method);"
12780240,NetWorkUnit.NetBitStream$$get_DataLength,"int32_t NetWorkUnit_NetBitStream__get_DataLength (NetWorkUnit_NetBitStream_o* __this, const MethodInfo* method);"
12780248,NetWorkUnit.NetBitStream$$get_PackageLength,"int32_t NetWorkUnit_NetBitStream__get_PackageLength (NetWorkUnit_NetBitStream_o* __this, const MethodInfo* method);"
12780260,NetWorkUnit.NetBitStream$$get_TellSize,"int32_t NetWorkUnit_NetBitStream__get_TellSize (NetWorkUnit_NetBitStream_o* __this, const MethodInfo* method);"
12780272,NetWorkUnit.NetBitStream$$ReadAll,"bool NetWorkUnit_NetBitStream__ReadAll (NetWorkUnit_NetBitStream_o* __this, const MethodInfo* method);"
12780312,NetWorkUnit.NetBitStream$$get_ByteLength,"int32_t NetWorkUnit_NetBitStream__get_ByteLength (NetWorkUnit_NetBitStream_o* __this, const MethodInfo* method);"
12780340,NetWorkUnit.NetBitStream$$AdvanceWriteOffset,"void NetWorkUnit_NetBitStream__AdvanceWriteOffset (NetWorkUnit_NetBitStream_o* __this, int32_t offset, const MethodInfo* method);"
12780356,NetWorkUnit.NetBitStream$$AdvanceReadOffset,"void NetWorkUnit_NetBitStream__AdvanceReadOffset (NetWorkUnit_NetBitStream_o* __this, int32_t offset, const MethodInfo* method);"
12780372,NetWorkUnit.NetBitStream$$InitBuffer,"void NetWorkUnit_NetBitStream__InitBuffer (NetWorkUnit_NetBitStream_o* __this, const MethodInfo* method);"
12780456,NetWorkUnit.NetBitStream$$Reset,"void NetWorkUnit_NetBitStream__Reset (NetWorkUnit_NetBitStream_o* __this, const MethodInfo* method);"
12780508,NetWorkUnit.NetBitStream$$.ctor,"void NetWorkUnit_NetBitStream___ctor (NetWorkUnit_NetBitStream_o* __this, const MethodInfo* method);"
12780544,NetWorkUnit.NetBitStream$$Seek,"void NetWorkUnit_NetBitStream__Seek (NetWorkUnit_NetBitStream_o* __this, int32_t where, int32_t offset, const MethodInfo* method);"
12780720,NetWorkUnit.NetBitStream$$Tell,"int32_t NetWorkUnit_NetBitStream__Tell (NetWorkUnit_NetBitStream_o* __this, const MethodInfo* method);"
12780732,NetWorkUnit.NetBitStream$$WriteUShortInHead,"void NetWorkUnit_NetBitStream__WriteUShortInHead (NetWorkUnit_NetBitStream_o* __this, uint16_t number, int32_t index, const MethodInfo* method);"
12780752,NetWorkUnit.NetBitStream$$WriteIntInHead,"void NetWorkUnit_NetBitStream__WriteIntInHead (NetWorkUnit_NetBitStream_o* __this, int32_t number, int32_t index, const MethodInfo* method);"
12780772,NetWorkUnit.NetBitStream$$WriteSByte,"void NetWorkUnit_NetBitStream__WriteSByte (NetWorkUnit_NetBitStream_o* __this, int8_t bt, const MethodInfo* method);"
12780776,NetWorkUnit.NetBitStream$$WriteByte,"void NetWorkUnit_NetBitStream__WriteByte (NetWorkUnit_NetBitStream_o* __this, uint8_t bt, const MethodInfo* method);"
12780896,NetWorkUnit.NetBitStream$$WriteBool,"void NetWorkUnit_NetBitStream__WriteBool (NetWorkUnit_NetBitStream_o* __this, bool flag, const MethodInfo* method);"
12781020,NetWorkUnit.NetBitStream$$WriteInt,"void NetWorkUnit_NetBitStream__WriteInt (NetWorkUnit_NetBitStream_o* __this, int32_t number, const MethodInfo* method);"
12781124,NetWorkUnit.NetBitStream$$WriteUInt,"void NetWorkUnit_NetBitStream__WriteUInt (NetWorkUnit_NetBitStream_o* __this, uint32_t number, const MethodInfo* method);"
12781228,NetWorkUnit.NetBitStream$$WriteInt64,"void NetWorkUnit_NetBitStream__WriteInt64 (NetWorkUnit_NetBitStream_o* __this, System_String_o* number, const MethodInfo* method);"
12781344,NetWorkUnit.NetBitStream$$WriteInt64,"void NetWorkUnit_NetBitStream__WriteInt64 (NetWorkUnit_NetBitStream_o* __this, int64_t number, const MethodInfo* method);"
12781448,NetWorkUnit.NetBitStream$$WriteUInt64,"void NetWorkUnit_NetBitStream__WriteUInt64 (NetWorkUnit_NetBitStream_o* __this, System_String_o* number, const MethodInfo* method);"
12781564,NetWorkUnit.NetBitStream$$WriteUInt64,"void NetWorkUnit_NetBitStream__WriteUInt64 (NetWorkUnit_NetBitStream_o* __this, uint64_t number, const MethodInfo* method);"
12781668,NetWorkUnit.NetBitStream$$WriteShort,"void NetWorkUnit_NetBitStream__WriteShort (NetWorkUnit_NetBitStream_o* __this, int16_t number, const MethodInfo* method);"
12781772,NetWorkUnit.NetBitStream$$WriteUShort,"void NetWorkUnit_NetBitStream__WriteUShort (NetWorkUnit_NetBitStream_o* __this, uint16_t number, const MethodInfo* method);"
12781876,NetWorkUnit.NetBitStream$$WriteFloat,"void NetWorkUnit_NetBitStream__WriteFloat (NetWorkUnit_NetBitStream_o* __this, float number, const MethodInfo* method);"
12781940,NetWorkUnit.NetBitStream$$WriteString,"void NetWorkUnit_NetBitStream__WriteString (NetWorkUnit_NetBitStream_o* __this, System_String_o* str, const MethodInfo* method);"
12782240,NetWorkUnit.NetBitStream$$ReadSByte,"int8_t NetWorkUnit_NetBitStream__ReadSByte (NetWorkUnit_NetBitStream_o* __this, const MethodInfo* method);"
12782344,NetWorkUnit.NetBitStream$$ReadAssert,"void NetWorkUnit_NetBitStream__ReadAssert (NetWorkUnit_NetBitStream_o* __this, int32_t readLen, const MethodInfo* method);"
12782356,NetWorkUnit.NetBitStream$$ReadByte,"uint8_t NetWorkUnit_NetBitStream__ReadByte (NetWorkUnit_NetBitStream_o* __this, const MethodInfo* method);"
12782460,NetWorkUnit.NetBitStream$$ReadBool,"bool NetWorkUnit_NetBitStream__ReadBool (NetWorkUnit_NetBitStream_o* __this, const MethodInfo* method);"
12782572,NetWorkUnit.NetBitStream$$ReadInt,"int32_t NetWorkUnit_NetBitStream__ReadInt (NetWorkUnit_NetBitStream_o* __this, const MethodInfo* method);"
12782728,NetWorkUnit.NetBitStream$$ReadUInt,"uint32_t NetWorkUnit_NetBitStream__ReadUInt (NetWorkUnit_NetBitStream_o* __this, const MethodInfo* method);"
12782884,NetWorkUnit.NetBitStream$$ReadShort,"int16_t NetWorkUnit_NetBitStream__ReadShort (NetWorkUnit_NetBitStream_o* __this, const MethodInfo* method);"
12783040,NetWorkUnit.NetBitStream$$ReadUShort,"uint16_t NetWorkUnit_NetBitStream__ReadUShort (NetWorkUnit_NetBitStream_o* __this, const MethodInfo* method);"
12783196,NetWorkUnit.NetBitStream$$ReadFloat,"float NetWorkUnit_NetBitStream__ReadFloat (NetWorkUnit_NetBitStream_o* __this, const MethodInfo* method);"
12783352,NetWorkUnit.NetBitStream$$ReadInt64,"int64_t NetWorkUnit_NetBitStream__ReadInt64 (NetWorkUnit_NetBitStream_o* __this, const MethodInfo* method);"
12783508,NetWorkUnit.NetBitStream$$ReadUInt64,"uint64_t NetWorkUnit_NetBitStream__ReadUInt64 (NetWorkUnit_NetBitStream_o* __this, const MethodInfo* method);"
12783664,NetWorkUnit.NetBitStream$$ReadInt64AsString,"System_String_o* NetWorkUnit_NetBitStream__ReadInt64AsString (NetWorkUnit_NetBitStream_o* __this, const MethodInfo* method);"
12783872,NetWorkUnit.NetBitStream$$ReadUInt64AsString,"System_String_o* NetWorkUnit_NetBitStream__ReadUInt64AsString (NetWorkUnit_NetBitStream_o* __this, const MethodInfo* method);"
12784080,NetWorkUnit.NetBitStream$$ReadString,"System_String_o* NetWorkUnit_NetBitStream__ReadString (NetWorkUnit_NetBitStream_o* __this, const MethodInfo* method);"
12784300,NetWorkUnit.NetBitStream$$CopyBytes,"void NetWorkUnit_NetBitStream__CopyBytes (NetWorkUnit_NetBitStream_o* __this, System_Byte_array* bs, const MethodInfo* method);"
12784432,NetWorkUnit.NetBitStream$$CanWrite,"bool NetWorkUnit_NetBitStream__CanWrite (NetWorkUnit_NetBitStream_o* __this, int32_t writeLen, const MethodInfo* method);"
12784636,NetWorkUnit.NetBitStream$$ReadAssert_Impl,"void NetWorkUnit_NetBitStream__ReadAssert_Impl (NetWorkUnit_NetBitStream_o* __this, int32_t readLen, const MethodInfo* method);"
12784916,NetWorkUnit.NetBitStream$$_EnlargeDataSize,"bool NetWorkUnit_NetBitStream___EnlargeDataSize (NetWorkUnit_NetBitStream_o* __this, int32_t needSize, const MethodInfo* method);"
12785160,NetWorkUnit.NetCallBackManager$$get_Instance,NetWorkUnit_NetCallBackManager_o* NetWorkUnit_NetCallBackManager__get_Instance (const MethodInfo* method);
12785288,NetWorkUnit.NetCallBackManager$$.ctor,"void NetWorkUnit_NetCallBackManager___ctor (NetWorkUnit_NetCallBackManager_o* __this, const MethodInfo* method);"
12785296,NetWorkUnit.NetPacket$$get_SysId,"uint8_t NetWorkUnit_NetPacket__get_SysId (NetWorkUnit_NetPacket_o* __this, const MethodInfo* method);"
12785304,NetWorkUnit.NetPacket$$set_SysId,"void NetWorkUnit_NetPacket__set_SysId (NetWorkUnit_NetPacket_o* __this, uint8_t value, const MethodInfo* method);"
12785312,NetWorkUnit.NetPacket$$get_MsgId,"uint8_t NetWorkUnit_NetPacket__get_MsgId (NetWorkUnit_NetPacket_o* __this, const MethodInfo* method);"
12785320,NetWorkUnit.NetPacket$$set_MsgId,"void NetWorkUnit_NetPacket__set_MsgId (NetWorkUnit_NetPacket_o* __this, uint8_t value, const MethodInfo* method);"
12785328,NetWorkUnit.NetPacket$$get_PackSeries,"int32_t NetWorkUnit_NetPacket__get_PackSeries (NetWorkUnit_NetPacket_o* __this, const MethodInfo* method);"
12785336,NetWorkUnit.NetPacket$$set_PackSeries,"void NetWorkUnit_NetPacket__set_PackSeries (NetWorkUnit_NetPacket_o* __this, int32_t value, const MethodInfo* method);"
12785344,NetWorkUnit.NetPacket$$get_Operation,"uint16_t NetWorkUnit_NetPacket__get_Operation (NetWorkUnit_NetPacket_o* __this, const MethodInfo* method);"
12785352,NetWorkUnit.NetPacket$$set_Operation,"void NetWorkUnit_NetPacket__set_Operation (NetWorkUnit_NetPacket_o* __this, uint16_t value, const MethodInfo* method);"
12785360,NetWorkUnit.NetPacket$$get_connectionID,"uint32_t NetWorkUnit_NetPacket__get_connectionID (NetWorkUnit_NetPacket_o* __this, const MethodInfo* method);"
12785368,NetWorkUnit.NetPacket$$set_connectionID,"void NetWorkUnit_NetPacket__set_connectionID (NetWorkUnit_NetPacket_o* __this, uint32_t value, const MethodInfo* method);"
12785376,NetWorkUnit.NetPacket$$get_socket,"System_Net_Sockets_Socket_o* NetWorkUnit_NetPacket__get_socket (NetWorkUnit_NetPacket_o* __this, const MethodInfo* method);"
12785384,NetWorkUnit.NetPacket$$set_socket,"void NetWorkUnit_NetPacket__set_socket (NetWorkUnit_NetPacket_o* __this, System_Net_Sockets_Socket_o* value, const MethodInfo* method);"
12785392,NetWorkUnit.NetPacket$$.ctor,"void NetWorkUnit_NetPacket___ctor (NetWorkUnit_NetPacket_o* __this, const MethodInfo* method);"
12785444,NetWorkUnit.NetPacket$$InitWrite,"void NetWorkUnit_NetPacket__InitWrite (NetWorkUnit_NetPacket_o* __this, uint8_t sysId, uint8_t msgId, int32_t packSeries, const MethodInfo* method);"
12785524,NetWorkUnit.NetPacket$$_BeginWrite,"void NetWorkUnit_NetPacket___BeginWrite (NetWorkUnit_NetPacket_o* __this, uint8_t sysId, uint8_t msgId, const MethodInfo* method);"
12785564,NetWorkUnit.NetPacket$$Reset,"void NetWorkUnit_NetPacket__Reset (NetWorkUnit_NetPacket_o* __this, const MethodInfo* method);"
12785580,NetWorkUnit.NetPacket$$GetData,"System_Byte_array* NetWorkUnit_NetPacket__GetData (NetWorkUnit_NetPacket_o* __this, const MethodInfo* method);"
12785588,NetWorkUnit.NetPacket$$GetSendData,"System_Byte_array* NetWorkUnit_NetPacket__GetSendData (NetWorkUnit_NetPacket_o* __this, const MethodInfo* method);"
12785808,NetWorkUnit.NetPacket$$Packet,"void NetWorkUnit_NetPacket__Packet (NetWorkUnit_NetPacket_o* __this, NetWorkUnit_Encrypt_o* encrypt, const MethodInfo* method);"
12785984,NetWorkUnit.NetPacket$$UnPacket,"void NetWorkUnit_NetPacket__UnPacket (NetWorkUnit_NetPacket_o* __this, System_Byte_array* buff, int32_t startIndex, int32_t pack_size, int32_t data_len, const MethodInfo* method);"
12786044,NetWorkUnit.NetPacket$$CopyFrom,"void NetWorkUnit_NetPacket__CopyFrom (NetWorkUnit_NetPacket_o* __this, System_Byte_array* buff, int32_t startIndex, int32_t dataLen, const MethodInfo* method);"
12786256,NetWorkUnit.NetPacket$$_GetSysId,"uint8_t NetWorkUnit_NetPacket___GetSysId (NetWorkUnit_NetPacket_o* __this, const MethodInfo* method);"
12786260,NetWorkUnit.NetPacket$$_GetMsgId,"uint8_t NetWorkUnit_NetPacket___GetMsgId (NetWorkUnit_NetPacket_o* __this, const MethodInfo* method);"
12786264,NetWorkUnit.NetPacket$$Unwind,"void NetWorkUnit_NetPacket__Unwind (NetWorkUnit_NetPacket_o* __this, const MethodInfo* method);"
12786316,NetWorkUnit.NetPacket$$ReadAssert_Impl,"void NetWorkUnit_NetPacket__ReadAssert_Impl (NetWorkUnit_NetPacket_o* __this, int32_t readLen, const MethodInfo* method);"
12786928,NetWorkUnit.NetPacket$$SetBuffer,"void NetWorkUnit_NetPacket__SetBuffer (NetWorkUnit_NetPacket_o* __this, System_Byte_array* bts, int32_t start_index, int32_t size, const MethodInfo* method);"
12786936,NetWorkUnit.NetPoolManager$$get_SendPacketSize,"int32_t NetWorkUnit_NetPoolManager__get_SendPacketSize (NetWorkUnit_NetPoolManager_o* __this, const MethodInfo* method);"
12787008,NetWorkUnit.NetPoolManager$$get_RecvPacketSize,"int32_t NetWorkUnit_NetPoolManager__get_RecvPacketSize (NetWorkUnit_NetPoolManager_o* __this, const MethodInfo* method);"
12787084,NetWorkUnit.NetPoolManager$$get_PacketPoolSize,"int32_t NetWorkUnit_NetPoolManager__get_PacketPoolSize (NetWorkUnit_NetPoolManager_o* __this, const MethodInfo* method);"
12787156,NetWorkUnit.NetPoolManager$$AllocRecvQueue,"void NetWorkUnit_NetPoolManager__AllocRecvQueue (NetWorkUnit_NetPoolManager_o* __this, const MethodInfo* method);"
12787272,NetWorkUnit.NetPoolManager$$AddSendPacket,"void NetWorkUnit_NetPoolManager__AddSendPacket (NetWorkUnit_NetPoolManager_o* __this, NetWorkUnit_NetPacket_o* packet, const MethodInfo* method);"
12787584,NetWorkUnit.NetPoolManager$$GetSendPacket,"NetWorkUnit_NetPacket_o* NetWorkUnit_NetPoolManager__GetSendPacket (NetWorkUnit_NetPoolManager_o* __this, const MethodInfo* method);"
12787924,NetWorkUnit.NetPoolManager$$AddRecvPacket,"void NetWorkUnit_NetPoolManager__AddRecvPacket (NetWorkUnit_NetPoolManager_o* __this, NetWorkUnit_NetPacket_o* packet, int32_t index, const MethodInfo* method);"
12788236,NetWorkUnit.NetPoolManager$$GetRecvPacket,"NetWorkUnit_NetPacket_o* NetWorkUnit_NetPoolManager__GetRecvPacket (NetWorkUnit_NetPoolManager_o* __this, int32_t index, const MethodInfo* method);"
12788812,NetWorkUnit.NetPoolManager$$OnRelease,"void NetWorkUnit_NetPoolManager__OnRelease (NetWorkUnit_NetPoolManager_o* __this, const MethodInfo* method);"
