struct_id,struct_name,range_type,il2cpp_methods
10001,selectRoleStruct,RECV,
10002,itemStruct,RECV,
10003,itemDataStruct,RECV,
10004,itemDataStructEquip,RECV,
10005,itemDataStructFaBao,RECV,
10006,discipleStruct,RECV,
10007,livingEquipStruct,RECV,
10009,specialitySpritRoot,RECV,
10010,specialityBody,RECV,
10011,specialityTalent,RECV,
10012,specialityStrange,RECV,
10013,commUCharUCharInt,RECV,
10014,commUCharUChar,RECV,
10015,secretSceneGrid,RECV,
10016,secretSceneListItem,RECV,
10017,twoPositionData,RECV,
10018,positionStruct,RECV,
10019,commUCharUInt,RECV,
10020,commUShortUShortUShort,RECV,
10021,commUIntUIntUInt,RECV,
10022,monijyAreaStruct,RECV,
10023,monijyBuildStruct,RECV,
10024,secretSceneReportData,RECV,
10025,secretSceneGridData,RECV,
10026,commInt64Int64,RECV,
10027,commInt64UShort,RECV,
10028,combineStruct,RECV,
10029,commIntInt,RECV,
10030,commUShortFloat,RECV,
10031,monijyranditem,RECV,
10032,commIntStr,RECV,
10033,commCharStr,RECV,
10034,secretSceneReportResult,RECV,
10035,secretSceneChangeItem,RECV,
10036,secretSceneTeam,RECV,
10037,secretSceneTarget,RECV,
10038,secretSceneMonster,RECV,
10039,secretSceneMonsterMove,RECV,
10040,secretSceneFog,RECV,
10041,gongfaCollectData,RECV,
10042,monijyCaveData,RECV,
10043,secretSceneRoom,RECV,
10044,secretSceneDoor,RECV,
10045,commUShortUShort,RECV,
10047,collegeGrade,RECV,
10048,collegeTeachInfo,RECV,
10049,commUShortUInt,RECV,
10050,yxtZmData,RECV,
10051,mailStruct,RECV,
10052,mailAttStruct,RECV,
10053,everydayTask,RECV,
10054,secretSceneInteraction,RECV,
10055,worldAreaData,RECV,
10056,shangPuData,RECV,
10057,secretSceneBox,RECV,
10058,secretSceneFaZeBox,RECV,
10059,specialityList,RECV,
10060,specialityListSpritRoot,RECV,
10061,specialityListBody,RECV,
10062,specialityListTalent,RECV,
10063,specialityListStrange,RECV,
10064,specialityStruct,RECV,
10065,specialityStructSpritRoot,RECV,
10066,specialityStructBody,RECV,
10067,specialityStructTalent,RECV,
10068,specialityStructStrange,RECV,
10069,secretSceneMonsterInfo,RECV,
10070,friendItem,RECV,
10071,eventData,RECV,
10072,commUCharUIntUShort,RECV,
10073,lifestoryDetail,RECV,
10074,lifestoryData,RECV,
10075,taskStruct,RECV,
10076,itemDataStructYuFu,RECV,
10077,effectDataStruct,RECV,
10078,effectDataStructEvent,RECV,
10079,trainTowerRankItem,RECV,
10080,trainTowerTarItem,RECV,
10081,danfangBuildData,RECV,
10083,wdtData,RECV,
10084,effectDataStructWDT,RECV,
10085,xzfamilyData,RECV,
10086,commUIntUInt,RECV,
10087,laofangItem,RECV,
10088,gubaoStruct,RECV,
10089,yxtJzData,RECV,
10090,secretSceneShopItem,RECV,
10091,secretSceneEntity,RECV,
10092,commUCharUIntUInt,RECV,
10093,commUShortUShortUChar,RECV,
10094,commUShortUShortUCharUInt,RECV,
10095,travelData,RECV,
10096,secretScenePreview,RECV,
10097,repairBuildList,RECV,
10098,doufataiDefenseData,RECV,
10099,doufataiLogData,RECV,
10100,doufataiRankData,RECV,
10101,decisionData,RECV,
10102,doufataiTarDefData,RECV,
10103,doufataiSelectData,RECV,
10104,fightTeam,RECV,
10105,commonFight,RECV,
10106,clientFightStruct,RECV,
10107,serverFightStruct,RECV,
10108,relationData,RECV,
10109,clientFight,RECV,
10110,serverFight,RECV,
10111,clientFight1,RECV,
10112,serverFight1,RECV,
10115,clientFight3,RECV,
10116,serverFight3,RECV,
10118,commonFight4,RECV,
10120,commonFight5,RECV,
10121,clientFight6,RECV,
10122,serverFight6,RECV,
10124,commonFight7,RECV,
10125,clientFight8,RECV,
10126,serverFight8,RECV,
10128,commonFight9,RECV,
10130,commonFight10,RECV,
10131,clientFight11,RECV,
10132,serverFight11,RECV,
10133,commUShorUShorInt,RECV,
10134,commUShorUShorIntInt,RECV,
10135,commonFight12,RECV,
10137,commUShortUCharInt,RECV,
10138,gridEntityInfo,RECV,
10139,commIntIntIntInt,RECV,
10140,commIntIntInt,RECV,
10141,teamBlood,RECV,
10142,lqgData,RECV,
10143,faZe,RECV,
10145,offlineRecord,RECV,
10146,offlineRecordInt64,RECV,
10147,offlineRecordInt64UChar,RECV,
10148,offlineRecordUCharInt,RECV,
10149,offlineRecordUIntUCharInt,RECV,
10150,offlineRecordUCharUIntUCharInt,RECV,
10152,itemChangeStruct,RECV,
10153,commUCharInt64,RECV,
10155,worldRandomData,RECV,
10156,commUCharArrayUInt,RECV,
10157,qiyuClient1,RECV,
10158,qiyuServer1,RECV,
10159,qiyuClient2,RECV,
10160,qiyuClient3,RECV,
10161,qiyuClient,RECV,
10162,viewDiscipleItem,RECV,
10163,qiyuListItem,RECV,
10164,commIntIntIntInt64,RECV,
10165,spResultData,RECV,
10166,lingshouStruct,RECV,
10168,wanlingtaTuJian,RECV,
10169,tggData,RECV,
10170,commUShortUChar,RECV,
10171,xianzhanRoom,RECV,
10172,xianzhanShopItem,RECV,
10173,xianzhanExchItem,RECV,
