protocel_key,func_id,in_protocol,in_lua,lua_files
0,2,table_A,Y,gamecore.player.playercontroller.lua;gamecore.player.playercontroller.lua
0,1,table_B,Y,gamecore.player.playercontroller.lua;gamecore.player.playercontroller.lua
0,2,table_B,Y,gamecore.player.playercontroller.lua;gamecore.player.playercontroller.lua
0,3,table_B,N,
1,1,table_A,N,
1,3,table_A,N,
1,6,table_A,N,
1,11,table_A,N,
1,12,table_A,N,
1,13,table_A,N,
1,14,table_A,N,
1,15,table_A,Y,gamesys.bagsystem.bagprotocolcontrol.lua;gamesys.bagsystem.bagprotocolcontrol.lua
1,16,table_A,N,
1,17,table_A,Y,gamesys.bagsystem.bagprotocolcontrol.lua;gamesys.bagsystem.bagprotocolcontrol.lua
1,18,table_A,N,
1,19,table_A,N,
1,20,table_A,N,
1,21,table_A,N,
1,22,table_A,N,
1,24,table_A,N,
1,25,table_A,N,
1,26,table_A,N,
1,27,table_A,N,
1,28,table_A,N,
1,1,table_B,N,
1,2,table_B,N,
1,4,table_B,N,
1,5,table_B,N,
1,6,table_B,N,
1,11,table_B,N,
1,13,table_B,N,
1,14,table_B,N,
1,15,table_B,Y,gamesys.bagsystem.bagprotocolcontrol.lua;gamesys.bagsystem.bagprotocolcontrol.lua
1,16,table_B,N,
1,17,table_B,Y,gamesys.bagsystem.bagprotocolcontrol.lua;gamesys.bagsystem.bagprotocolcontrol.lua
1,18,table_B,N,
1,19,table_B,N,
1,20,table_B,N,
1,21,table_B,N,
1,22,table_B,N,
1,23,table_B,N,
1,28,table_B,N,
1,29,table_B,N,
2,3,table_A,N,
2,16,table_A,N,
2,20,table_A,Y,gui.windows.disciple.uidisciplecontroller.lua;gui.windows.disciple.uidisciplecontroller.lua;gui.windows.disciple.uidisciplecontroller.lua;gui.windows.disciple.uidisciplecontroller.lua
2,21,table_A,Y,gui.windows.disciple.uidisciplecontroller.lua;gui.windows.disciple.uidisciplecontroller.lua
2,22,table_A,Y,gui.windows.disciple.uidisciplecontroller.lua;gui.windows.disciple.uidisciplecontroller.lua;gui.windows.disciple.uidisciplecontroller.lua
2,23,table_A,N,
2,24,table_A,Y,gui.windows.disciple.uidisciplecontroller.lua;gui.windows.disciple.uidisciplecontroller.lua
2,25,table_A,Y,gui.windows.disciple.uidisciplecontroller.lua;gui.windows.disciple.uidisciplecontroller.lua
2,26,table_A,N,
2,27,table_A,Y,gui.windows.disciple.uidisciplecontroller.lua;gui.windows.disciple.uidisciplecontroller.lua
2,31,table_A,N,
2,32,table_A,N,
2,33,table_A,N,
2,34,table_A,N,
2,35,table_A,N,
2,41,table_A,Y,gui.windows.disciple.uidisciplecontroller.lua;gui.windows.disciple.uidisciplecontroller.lua
2,43,table_A,N,
2,44,table_A,N,
2,45,table_A,N,
2,47,table_A,N,
2,48,table_A,N,
2,50,table_A,N,
2,51,table_A,N,
2,52,table_A,N,
2,53,table_A,N,
2,54,table_A,N,
2,55,table_A,N,
2,56,table_A,N,
2,57,table_A,N,
2,58,table_A,N,
2,59,table_A,N,
2,60,table_A,N,
2,61,table_A,N,
2,62,table_A,N,
2,63,table_A,N,
2,64,table_A,N,
2,69,table_A,Y,gui.windows.disciple.uidisciplecontroller.lua;gui.windows.disciple.uidisciplecontroller.lua
2,70,table_A,Y,gui.windows.disciple.uidisciplecontroller.lua;gui.windows.disciple.uidisciplecontroller.lua
