struct_id,struct,index,field,type,subtype,count,typename_id,condition
10001,selectRoleStruct,0,id,0x07,0,0,0,0
10001,selectRoleStruct,1,name,0x0a,0,0,0,0
10001,selectRoleStruct,2,sex,0x02,0,0,0,0
10001,selectRoleStruct,3,icon,0x06,0,0,0,0
10001,selectRoleStruct,4,level,0x04,0,0,0,0
10001,selectRoleStruct,5,fightvalue,0x0a,0,0,0,0
10001,selectRoleStruct,6,createtime,0x06,0,0,0,0
10001,selectRoleStruct,7,zhuxiaotime,0x06,0,0,0,0
10002,itemStruct,0,itemguid,0x07,0,0,0,0
10002,itemStruct,1,itemid,0x06,0,0,0,0
10002,itemStruct,2,itemcount,0x06,0,0,0,0
10002,itemStruct,3,itemflag,0x02,0,0,0,0
10002,itemStruct,4,itemData,0x0b,0,0,10003,0
10002,itemStruct,5,itemtime,0x06,0,0,0,0
10003,itemDataStruct,0,itemtype,0x02,0,0,0,-255
10003,itemDataStruct,1,_switch_flag,0x02,0,0,0,100
10004,itemDataStructEquip,0,itemtype,0x02,0,0,0,0
10004,itemDataStructEquip,1,len,0x02,0,1,0,0
10004,itemDataStructEquip,2,randattrList,0x0c,0,0,10530,0
10004,itemDataStructEquip,3,suitid,0x02,0,0,0,0
10004,itemDataStructEquip,4,jinglianlv,0x02,0,0,0,0
10004,itemDataStructEquip,5,jinglianexp,0x06,0,0,0,0
10004,itemDataStructEquip,6,reveal_times,0x02,0,0,0,0
10004,itemDataStructEquip,7,ninglian_star,0x02,0,0,0,0
10005,itemDataStructFaBao,0,itemtype,0x02,0,0,0,0
10005,itemDataStructFaBao,1,jilianlv,0x02,0,0,0,0
10005,itemDataStructFaBao,2,jilianexp,0x06,0,0,0,0
10005,itemDataStructFaBao,3,lianhuanum,0x02,0,0,0,0
10005,itemDataStructFaBao,4,lianhuatimes,0x02,0,0,0,0
10005,itemDataStructFaBao,5,lianhualen,0x02,0,1,0,0
10005,itemDataStructFaBao,6,lianhuaList,0x0c,0,0,10030,0
10005,itemDataStructFaBao,7,initlianhualen,0x02,0,1,0,0
10005,itemDataStructFaBao,8,initlianhuaList,0x0c,0,0,10030,0
10005,itemDataStructFaBao,9,mainid,0x04,0,0,0,-255
10005,itemDataStructFaBao,10,czlistlen,0x02,0,1,0,1
10005,itemDataStructFaBao,11,czList,0x0c,2,0,0,0
10005,itemDataStructFaBao,12,staticlistlen,0x02,0,1,0,0
10005,itemDataStructFaBao,13,staticList,0x0c,0,0,10030,0
10005,itemDataStructFaBao,14,elementlistlen,0x02,0,1,0,0
10005,itemDataStructFaBao,15,elementList,0x0c,0,0,10019,0
10005,itemDataStructFaBao,16,name,0x0a,0,0,0,0
10005,itemDataStructFaBao,17,discipleguid,0x07,0,0,0,0
10005,itemDataStructFaBao,18,rawlistlen,0x02,0,1,0,0
10005,itemDataStructFaBao,19,rawList,0x0c,0,0,10019,0
10005,itemDataStructFaBao,20,mainidx,0x02,0,0,0,0
10005,itemDataStructFaBao,21,yunyang,0x02,0,0,0,0
10005,itemDataStructFaBao,22,lingxinglv,0x02,0,0,0,0
10005,itemDataStructFaBao,23,lingxingexp,0x07,0,0,0,0
10006,discipleStruct,0,discipleguid,0x07,0,0,0,0
10006,discipleStruct,1,disciplename,0x0a,0,0,0,0
10006,discipleStruct,2,discipledata,0x06,0,0,0,0
10006,discipleStruct,3,discipleimage,0x07,0,0,0,0
10006,discipleStruct,4,pos,0x02,0,0,0,0
10006,discipleStruct,5,state,0x06,0,0,0,0
10006,discipleStruct,6,fightvalue,0x07,0,0,0,0
10006,discipleStruct,7,jingjielv,0x02,0,0,0,0
10006,discipleStruct,8,jingjieexp,0x07,0,0,0,0
10006,discipleStruct,9,liantilv,0x02,0,0,0,0
10006,discipleStruct,10,liantiexp,0x06,0,0,0,0
10006,discipleStruct,11,fightequiplistlen,0x02,0,1,0,0
10006,discipleStruct,12,fightEquipList,0x0c,0,0,10002,0
10006,discipleStruct,13,livingequiplistlen,0x02,0,1,0,0
10006,discipleStruct,14,livingEquipList,0x0c,0,0,10007,0
10006,discipleStruct,15,checktm,0x06,0,0,0,0
10006,discipleStruct,16,injury,0x02,0,0,0,0
10006,discipleStruct,17,loyalty,0x02,0,0,0,0
10006,discipleStruct,18,attrList,0x0c,3,6,0,0
10006,discipleStruct,19,shouyuan,0x09,0,0,0,0
10006,discipleStruct,20,stand,0x02,0,0,0,0
10006,discipleStruct,21,specialitylistlen,0x02,0,1,0,0
10006,discipleStruct,22,specialityList,0x0c,0,0,10059,0
10006,discipleStruct,23,proskilllistlen,0x02,0,1,0,0
10006,discipleStruct,24,proskillList,0x0c,0,0,10013,0
10006,discipleStruct,25,gongfalistlen,0x02,0,1,0,0
10006,discipleStruct,26,gongfaList,0x0c,0,0,10137,0
10006,discipleStruct,27,gongfaidList,0x0c,4,2,0,0
10006,discipleStruct,28,fabaolistlen,0x02,0,1,0,0
10006,discipleStruct,29,fabaoList,0x0c,0,0,10002,0
10006,discipleStruct,30,daobinglistlen,0x02,0,1,0,0
10006,discipleStruct,31,daobingList,0x0c,0,0,10002,0
10006,discipleStruct,32,mountlistlen,0x02,0,1,0,0
10006,discipleStruct,33,mountList,0x0c,0,0,10002,0
10006,discipleStruct,34,dresslistlen,0x02,0,1,0,0
10006,discipleStruct,35,dressList,0x0c,0,0,10002,0
10006,discipleStruct,36,vocequiplistlen,0x02,0,1,0,0
10006,discipleStruct,37,vocequipList,0x0c,0,0,10002,0
10006,discipleStruct,38,jingjierate,0x0c,3,4,0,0
10006,discipleStruct,39,jingjietimes,0x02,0,0,0,0
10006,discipleStruct,40,age,0x06,0,0,0,0
10006,discipleStruct,41,addtm,0x06,0,0,0,0
10006,discipleStruct,42,jingjiesatiety,0x07,0,0,0,0
10006,discipleStruct,43,srctype,0x04,0,0,0,0
10006,discipleStruct,44,disciplebag_len,0x02,0,1,0,0
10006,discipleStruct,45,disciplebagList,0x0c,0,0,10019,0
10006,discipleStruct,46,relationlistlen,0x02,0,1,0,0
10006,discipleStruct,47,relationList,0x0c,0,0,10108,0
10006,discipleStruct,48,namemod,0x02,0,0,0,0
10006,discipleStruct,49,dujiesoulnum,0x02,0,0,0,0
10006,discipleStruct,50,lingshou_guid,0x07,0,0,0,0
10006,discipleStruct,51,order,0x02,0,0,0,0
